iter	RMSE
1992	0.0913715292
1993	0.09135733632
1994	0.09134884911
1995	0.09134152641
1996	0.09133630011
1997	0.0913242051
1998	0.09131504899
1999	0.09131129998
2000	0.09130912543
2001	0.0912987541
2002	0.09129066135
2003	0.09128270462
2004	0.09126724695
2005	0.0912644383
2006	0.09125634858
2007	0.0912491421
2008	0.09124832978
2009	0.09123906943
2010	0.09122674579
2011	0.09121282219
2012	0.09120399808
2013	0.09119946115
2014	0.09118875509
2015	0.09117868884
2016	0.09117552542
2017	0.09116164721
2018	0.09114980342
2019	0.09114249328
2020	0.09113108529
2021	0.09111064318
2022	0.09110139874
2023	0.09109855495
2024	0.09109041792
2025	0.09108033941
2026	0.09108002725
2027	0.09107958554
2028	0.0910732312
2029	0.09107273632
2030	0.0910689388
2031	0.09105856002
2032	0.09105603401
2033	0.09104598253
2034	0.09103616485
2035	0.09103353864
2036	0.09102241569
2037	0.09101248473
2038	0.09100412821
2039	0.09098908735
2040	0.09098872066
2041	0.09097883196
2042	0.09097028857
2043	0.09096648622
2044	0.09095180356
2045	0.09094841952
2046	0.09092440843
2047	0.09090772276
2048	0.09089635181
2049	0.09088110042
2050	0.09086901545
2051	0.09086798797
2052	0.09086430879
2053	0.09084552337
2054	0.09084022993
2055	0.09083103353
2056	0.0908241121
2057	0.09081802855
2058	0.09080559308
2059	0.09079730245
2060	0.09078702124
2061	0.09077274956
2062	0.09076479575
2063	0.09075564243
2064	0.09074923322
2065	0.09074139288
2066	0.09072790748
2067	0.09071777
2068	0.09070729427
2069	0.09069514216
2070	0.09069425677
2071	0.09068099521
2072	0.09067185039
2073	0.09066051878
2074	0.090659122
2075	0.09065825373
2076	0.09064031941
2077	0.09062856958
2078	0.09061585796
2079	0.09060710466
2080	0.09059905669
2081	0.0905927348
2082	0.09058413807
2083	0.0905815208
2084	0.09057652136
2085	0.09056273158
2086	0.09055673214
2087	0.09054762874
2088	0.09053849947
2089	0.09052999441
2090	0.0905233394
2091	0.09051385537
2092	0.09050972749
2093	0.09050128763
2094	0.09048936198
2095	0.09048924229
2096	0.09047590861
2097	0.09047015464
2098	0.09045725328
2099	0.09044691473
2100	0.09043938121
2101	0.09043554519
2102	0.09042546056
2103	0.09041445345
2104	0.09041396267
2105	0.0904138151
2106	0.0904036467
2107	0.09039631434
2108	0.09038512884
2109	0.09038211607
2110	0.09037417946
2111	0.09037359212
2112	0.09036041741
2113	0.09035248091
2114	0.09034650645
2115	0.09034219367
2116	0.09033040262
2117	0.09032939692
2118	0.09032358036
2119	0.09031563996
2120	0.09029902257
2121	0.09029792955
2122	0.09028471494
2123	0.09027956693
2124	0.09027785384
2125	0.09027755994
2126	0.09026991552
2127	0.09025988544
2128	0.09025344671
2129	0.09024458526
2130	0.09023258564
2131	0.09022732096
2132	0.09022152496
2133	0.09021662116
2134	0.09020848352
2135	0.09020162913
2136	0.0901904672
2137	0.09018369506
2138	0.09018067382
2139	0.0901732461
2140	0.09016190055
2141	0.09015459297
2142	0.09014400452
2143	0.09013390715
2144	0.09012839747
